Location,Latitude,Longitude,Elevation,Skycover,Orientation,Tilt,ACenergyPerYear,img
Ardabil,38.317,48.417,1332,6.031665,-25,10,328.644556,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-25_Tilt10.png
Ardabil,38.317,48.417,1332,6.031665,-15,10,346.028392,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-15_Tilt10.png
Ardabil,38.317,48.417,1332,6.031665,-5,10,355.709082,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-5_Tilt10.png
Ardabil,38.317,48.417,1332,6.031665,5,10,356.989269,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation5_Tilt10.png
Ardabil,38.317,48.417,1332,6.031665,15,10,349.957017,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation15_Tilt10.png
Ardabil,38.317,48.417,1332,6.031665,25,10,336.03294,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation25_Tilt10.png
Ardabil,38.317,48.417,1332,6.031665,35,10,316.088075,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation35_Tilt10.png
Ardabil,38.317,48.417,1332,6.031665,45,10,292.903585,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation45_Tilt10.png
Ardabil,38.317,48.417,1332,6.031665,-45,20,291.283196,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-45_Tilt20.png
Ardabil,38.317,48.417,1332,6.031665,-35,20,318.335456,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-35_Tilt20.png
Ardabil,38.317,48.417,1332,6.031665,-25,20,341.349099,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-25_Tilt20.png
Ardabil,38.317,48.417,1332,6.031665,-15,20,358.80783,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-15_Tilt20.png
Ardabil,38.317,48.417,1332,6.031665,-5,20,368.853781,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-5_Tilt20.png
Ardabil,38.317,48.417,1332,6.031665,5,20,370.002507,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation5_Tilt20.png
Ardabil,38.317,48.417,1332,6.031665,15,20,362.970035,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation15_Tilt20.png
Ardabil,38.317,48.417,1332,6.031665,25,20,348.210387,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation25_Tilt20.png
Ardabil,38.317,48.417,1332,6.031665,35,20,327.441266,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation35_Tilt20.png
Ardabil,38.317,48.417,1332,6.031665,45,20,302.527723,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation45_Tilt20.png
Ardabil,38.317,48.417,1332,6.031665,-45,30,295.514345,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-45_Tilt30.png
Ardabil,38.317,48.417,1332,6.031665,-35,30,323.329021,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-35_Tilt30.png
Ardabil,38.317,48.417,1332,6.031665,-25,30,346.658216,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-25_Tilt30.png
Ardabil,38.317,48.417,1332,6.031665,-15,30,363.457036,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-15_Tilt30.png
Ardabil,38.317,48.417,1332,6.031665,-5,30,373.842563,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-5_Tilt30.png
Ardabil,38.317,48.417,1332,6.031665,5,30,374.871485,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation5_Tilt30.png
Ardabil,38.317,48.417,1332,6.031665,15,30,368.097371,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation15_Tilt30.png
Ardabil,38.317,48.417,1332,6.031665,25,30,353.386235,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation25_Tilt30.png
Ardabil,38.317,48.417,1332,6.031665,35,30,331.886028,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation35_Tilt30.png
Ardabil,38.317,48.417,1332,6.031665,45,30,306.692321,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation45_Tilt30.png
Ardabil,38.317,48.417,1332,6.031665,-45,40,294.523962,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-45_Tilt40.png
Ardabil,38.317,48.417,1332,6.031665,-35,40,322.01829,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-35_Tilt40.png
Ardabil,38.317,48.417,1332,6.031665,-25,40,343.995816,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-25_Tilt40.png
Ardabil,38.317,48.417,1332,6.031665,-15,40,360.935954,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-15_Tilt40.png
Ardabil,38.317,48.417,1332,6.031665,-5,40,370.582564,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-5_Tilt40.png
Ardabil,38.317,48.417,1332,6.031665,5,40,372.034967,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation5_Tilt40.png
Ardabil,38.317,48.417,1332,6.031665,15,40,365.126989,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation15_Tilt40.png
Ardabil,38.317,48.417,1332,6.031665,25,40,351.240606,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation25_Tilt40.png
Ardabil,38.317,48.417,1332,6.031665,35,40,330.231185,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation35_Tilt40.png
Ardabil,38.317,48.417,1332,6.031665,45,40,305.125743,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation45_Tilt40.png
Ardabil,38.317,48.417,1332,6.031665,-45,50,288.468617,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-45_Tilt50.png
Ardabil,38.317,48.417,1332,6.031665,-35,50,314.055211,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-35_Tilt50.png
Ardabil,38.317,48.417,1332,6.031665,-25,50,334.568686,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-25_Tilt50.png
Ardabil,38.317,48.417,1332,6.031665,-15,50,350.774433,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-15_Tilt50.png
Ardabil,38.317,48.417,1332,6.031665,-5,50,358.849024,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-5_Tilt50.png
Ardabil,38.317,48.417,1332,6.031665,5,50,361.358403,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation5_Tilt50.png
Ardabil,38.317,48.417,1332,6.031665,15,50,354.332737,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation15_Tilt50.png
Ardabil,38.317,48.417,1332,6.031665,25,50,341.697489,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation25_Tilt50.png
Ardabil,38.317,48.417,1332,6.031665,35,50,322.341614,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation35_Tilt50.png
Ardabil,38.317,48.417,1332,6.031665,45,50,297.98623,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation45_Tilt50.png
Ardabil,38.317,48.417,1332,6.031665,-45,60,277.237686,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-45_Tilt60.png
Ardabil,38.317,48.417,1332,6.031665,-35,60,299.397166,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-35_Tilt60.png
Ardabil,38.317,48.417,1332,6.031665,-25,60,318.826028,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-25_Tilt60.png
Ardabil,38.317,48.417,1332,6.031665,-15,60,332.656501,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-15_Tilt60.png
Ardabil,38.317,48.417,1332,6.031665,-5,60,339.99623,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-5_Tilt60.png
Ardabil,38.317,48.417,1332,6.031665,5,60,342.652584,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation5_Tilt60.png
Ardabil,38.317,48.417,1332,6.031665,15,60,336.720971,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation15_Tilt60.png
Ardabil,38.317,48.417,1332,6.031665,25,60,324.742311,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation25_Tilt60.png
Ardabil,38.317,48.417,1332,6.031665,35,60,308.033552,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation35_Tilt60.png
Ardabil,38.317,48.417,1332,6.031665,45,60,286.539717,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation45_Tilt60.png
Ardabil,38.317,48.417,1332,6.031665,-45,70,260.857418,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-45_Tilt70.png
Ardabil,38.317,48.417,1332,6.031665,-35,70,280.064508,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-35_Tilt70.png
Ardabil,38.317,48.417,1332,6.031665,-25,70,295.855211,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-25_Tilt70.png
Ardabil,38.317,48.417,1332,6.031665,-15,70,307.26075,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-15_Tilt70.png
Ardabil,38.317,48.417,1332,6.031665,-5,70,314.35024,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-5_Tilt70.png
Ardabil,38.317,48.417,1332,6.031665,5,70,315.268973,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation5_Tilt70.png
Ardabil,38.317,48.417,1332,6.031665,15,70,311.501484,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation15_Tilt70.png
Ardabil,38.317,48.417,1332,6.031665,25,70,301.930639,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation25_Tilt70.png
Ardabil,38.317,48.417,1332,6.031665,35,70,287.276439,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation35_Tilt70.png
Ardabil,38.317,48.417,1332,6.031665,45,70,270.318241,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation45_Tilt70.png
Ardabil,38.317,48.417,1332,6.031665,-45,80,241.162678,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-45_Tilt80.png
Ardabil,38.317,48.417,1332,6.031665,-35,80,255.436552,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-35_Tilt80.png
Ardabil,38.317,48.417,1332,6.031665,-25,80,267.287824,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-25_Tilt80.png
Ardabil,38.317,48.417,1332,6.031665,-15,80,275.442196,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-15_Tilt80.png
Ardabil,38.317,48.417,1332,6.031665,-5,80,280.561744,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-5_Tilt80.png
Ardabil,38.317,48.417,1332,6.031665,5,80,281.330901,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation5_Tilt80.png
Ardabil,38.317,48.417,1332,6.031665,15,80,279.718168,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation15_Tilt80.png
Ardabil,38.317,48.417,1332,6.031665,25,80,272.716089,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation25_Tilt80.png
Ardabil,38.317,48.417,1332,6.031665,35,80,262.423462,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation35_Tilt80.png
Ardabil,38.317,48.417,1332,6.031665,45,80,249.568324,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation45_Tilt80.png
Ardabil,38.317,48.417,1332,6.031665,-45,90,218.5988,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-45_Tilt90.png
Ardabil,38.317,48.417,1332,6.031665,-35,90,227.49151,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-35_Tilt90.png
Ardabil,38.317,48.417,1332,6.031665,-25,90,233.684898,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-25_Tilt90.png
Ardabil,38.317,48.417,1332,6.031665,-15,90,238.2536,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-15_Tilt90.png
Ardabil,38.317,48.417,1332,6.031665,-5,90,240.561328,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-5_Tilt90.png
Ardabil,38.317,48.417,1332,6.031665,5,90,241.290463,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation5_Tilt90.png
Ardabil,38.317,48.417,1332,6.031665,15,90,241.691426,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation15_Tilt90.png
Ardabil,38.317,48.417,1332,6.031665,25,90,239.292863,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation25_Tilt90.png
Ardabil,38.317,48.417,1332,6.031665,35,90,233.855321,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation35_Tilt90.png
Ardabil,38.317,48.417,1332,6.031665,45,90,226.46357,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation45_Tilt90.png
BandarBushehr,28.945,50.835,20.7,3.137894,45,90,231.810621,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation45_Tilt90.png
BandarBushehr,28.945,50.835,20.7,3.137894,-45,0,312.279308,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-45_Tilt0.png
BandarBushehr,28.945,50.835,20.7,3.137894,-35,0,338.67556,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-35_Tilt0.png
BandarBushehr,28.945,50.835,20.7,3.137894,-25,0,362.114804,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-25_Tilt0.png
BandarBushehr,28.945,50.835,20.7,3.137894,-15,0,380.91664,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-15_Tilt0.png
BandarBushehr,28.945,50.835,20.7,3.137894,-5,0,391.838799,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-5_Tilt0.png
BandarBushehr,28.945,50.835,20.7,3.137894,5,0,392.506955,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation5_Tilt0.png
BandarBushehr,28.945,50.835,20.7,3.137894,15,0,382.687412,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation15_Tilt0.png
BandarBushehr,28.945,50.835,20.7,3.137894,25,0,365.045625,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation25_Tilt0.png
BandarBushehr,28.945,50.835,20.7,3.137894,35,0,341.868818,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation35_Tilt0.png
BandarBushehr,28.945,50.835,20.7,3.137894,45,0,316.456952,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation45_Tilt0.png
BandarBushehr,28.945,50.835,20.7,3.137894,-45,10,325.603111,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-45_Tilt10.png
BandarBushehr,28.945,50.835,20.7,3.137894,-35,10,355.182226,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-35_Tilt10.png
BandarBushehr,28.945,50.835,20.7,3.137894,-25,10,380.325374,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-25_Tilt10.png
BandarBushehr,28.945,50.835,20.7,3.137894,-15,10,399.869712,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-15_Tilt10.png
BandarBushehr,28.945,50.835,20.7,3.137894,-5,10,411.508916,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-5_Tilt10.png
BandarBushehr,28.945,50.835,20.7,3.137894,5,10,412.065011,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation5_Tilt10.png
BandarBushehr,28.945,50.835,20.7,3.137894,15,10,402.539482,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation15_Tilt10.png
BandarBushehr,28.945,50.835,20.7,3.137894,25,10,382.796849,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation25_Tilt10.png
BandarBushehr,28.945,50.835,20.7,3.137894,35,10,358.34743,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation35_Tilt10.png
BandarBushehr,28.945,50.835,20.7,3.137894,45,10,329.909218,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation45_Tilt10.png
BandarBushehr,28.945,50.835,20.7,3.137894,-45,20,333.595542,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-45_Tilt20.png
BandarBushehr,28.945,50.835,20.7,3.137894,-35,20,364.156671,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-35_Tilt20.png
BandarBushehr,28.945,50.835,20.7,3.137894,-25,20,389.538283,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-25_Tilt20.png
BandarBushehr,28.945,50.835,20.7,3.137894,-15,20,410.102092,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-15_Tilt20.png
BandarBushehr,28.945,50.835,20.7,3.137894,-5,20,421.394,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-5_Tilt20.png
BandarBushehr,28.945,50.835,20.7,3.137894,5,20,422.13453,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation5_Tilt20.png
BandarBushehr,28.945,50.835,20.7,3.137894,15,20,412.911806,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation15_Tilt20.png
BandarBushehr,28.945,50.835,20.7,3.137894,25,20,392.937645,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation25_Tilt20.png
BandarBushehr,28.945,50.835,20.7,3.137894,35,20,366.512292,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation35_Tilt20.png
BandarBushehr,28.945,50.835,20.7,3.137894,45,20,337.493526,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation45_Tilt20.png
BandarBushehr,28.945,50.835,20.7,3.137894,-45,30,335.412887,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-45_Tilt30.png
BandarBushehr,28.945,50.835,20.7,3.137894,-35,30,365.356509,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-35_Tilt30.png
BandarBushehr,28.945,50.835,20.7,3.137894,-25,30,390.357647,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-25_Tilt30.png
BandarBushehr,28.945,50.835,20.7,3.137894,-15,30,411.298134,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-15_Tilt30.png
BandarBushehr,28.945,50.835,20.7,3.137894,-5,30,421.285193,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-5_Tilt30.png
BandarBushehr,28.945,50.835,20.7,3.137894,5,30,422.942231,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation5_Tilt30.png
BandarBushehr,28.945,50.835,20.7,3.137894,15,30,413.911259,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation15_Tilt30.png
BandarBushehr,28.945,50.835,20.7,3.137894,25,30,394.579419,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation25_Tilt30.png
BandarBushehr,28.945,50.835,20.7,3.137894,35,30,367.464186,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation35_Tilt30.png
BandarBushehr,28.945,50.835,20.7,3.137894,45,30,339.160127,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation45_Tilt30.png
BandarBushehr,28.945,50.835,20.7,3.137894,-45,40,330.665103,LocationBandarBushehrIntlAP_BS_IRN_Latitude28.945_Longitude50.835_Elevation20.7_Skycover3.137894_Orientation-45_Tilt40.png
